妻子	1	AA	1	丈夫	AB	丈夫	AB
丈夫	1	AB	1	妻子	AA	妻子	AA
儿子	2	BB	1	母亲	CF	父亲	CG
女儿	2	BC	1	母亲	CF	父亲	CG
弟弟	3	CA	1	姐姐	CD	哥哥	CB
哥哥	3	CB	1	妹妹	CC	弟弟	CA
妹妹	3	CC	1	姐姐	CD	哥哥	CB
姐姐	3	CD	1	妹妹	CC	弟弟	CA
父亲	3	CF	1	女儿	BC	儿子	BB
母亲	3	CG	1	女儿	BC	儿子	BB
孙子	4	DA	2	奶奶	EB	爷爷	EA
孙女	4	DB	2	奶奶	EB	爷爷	EA
女婿	4	DC	2	岳母	ED	岳父	EC
媳妇	4	DD	2	婆婆	EF	公公	EE
爷爷	5	EA	2	孙女	DB	孙子	DA
奶奶	5	EB	2	孙女	DB	孙子	DA
岳父	5	EC	2	女婿	DC	女婿	DC
岳母	5	ED	2	女婿	DC	女婿	DC
公公	5	EE	2	媳妇	DD	媳妇	DD
婆婆	5	EF	2	媳妇	DD	媳妇	DD
朋友	6	FA	2	朋友	FA	朋友	FA
